x;y;local
-48,71287019;-25,4214295;Portinho
-48,709;-25,42848;Mercado de Antonina
-48,68855959;-25,45058169;Praia dos Polacos
-48,68229674;-25,45161116;Ponta da Pita
-48,54476561;-25,51994322;Vila Guarani
-48,505603;-25,523106;Mercado de Paranagua
-48,35973343;-25,56843439;Pontal do Sul
